Year,price,dprice,resids
1861,3.0820022,-76.3441065861635,-44.6112377727654
1862,6.6042895,-42.2841766516981,14.5939367520058
1863,19.81287,-21.3232182813585,13.3350157341026
1864,50.69579,8.73961786415597,32.3662456446146
1865,41.449783,-11.4940983490597,-4.37219848086733
1866,23.523851,-28.1327955722708,-10.713290718521
1867,15.158419,-29.0967123219211,-1.50875729544451
1868,22.831974,-15.6928801060969,3.53609900001374
1869,22.894873,-16.2996313203392,6.66767765474251
1870,24.278627,-14.3319593136637,-2.4115743603093
1871,27.297733,-11.2400987729521,11.1992378561233
1872,22.894873,-16.4503796214022,-9.66363339149289
1873,11.510334,-26.0222278792309,-0.670824592295454
1874,7.3590655,-24.8951859220313,-9.1876905444198
1875,8.49123,-20.2212481006352,7.45576620914631
1876,16.101887,-11.4144019900475,2.21741526398047
1877,15.221316,-14.3703330338351,3.56509114342331
1878,7.4848623,-21.9017011397477,-7.98857839737576
1879,5.4092283,-20.6320361426161,1.43964514791218
1880,5.97531,-18.0291120715096,-0.556042186663036
1881,5.4092283,-17.79944005221,0.223355023466186
1882,4.906044,-17.4218244174457,1.07939724928109
1883,6.2898,-15.2330371298173,0.306276656593599
1884,5.283432,-16.2402724275253,1.77297703260158
1885,5.535024,-15.2976384348852,-1.334653469285
1886,4.465758,-16.042042287354,2.31429169132022
1887,4.214166,-15.540078805758,-2.31392854368071
1888,5.535024,-13.6908146745811,4.8251786453153
1889,5.912412,-13.4675519191209,-2.19005505164442
1890,5.472126,-13.9016418949361,3.34835677203524
1891,4.214166,-14.8334656526897,-3.05626038539542
1892,3.522288,-14.7944374453839,2.23912862422662
1893,4.0254717,-13.6569152985407,-0.571793180995443
1894,5.283432,-12.2429705421963,2.56819576402684
1895,8.554128,-9.25606896738213,3.48893798638694
1896,7.4219637,-11.6393895373419,-1.24440364117885
1897,4.968942,-13.9184994610514,0.320887216019293
1898,5.723718,-12.1267579538083,-0.323097964279315
1899,8.113842,-9.67472319283978,4.45305908251155
1900,7.4848623,-11.1117806859251,-2.17973951408601
1901,6.038208,-12.4512504851374,1.82373544489619
1902,5.03184,-12.8219932877416,-2.42616845942839
1903,5.912412,-11.2967747404153,3.21209128812334
1904,5.4092283,-11.8623450230317,-1.76546691772072
1905,3.899676,-13.0708731449408,0.436612494343246
1906,4.591554,-11.6030591441647,0.611275545503957
1907,4.528656,-11.6190578220285,0.019330934580093
1908,4.528656,-11.4526886210326,1.30535297256179
1909,4.40286,-11.4345110857399,-0.908382634897145
1910,3.8367782,-11.819112561916,1.44067438340018
1911,3.8367782,-11.4560755835288,-1.19956149584995
1912,4.654452,-10.4485613763274,2.8866041709262
1913,5.97531,-9.30573552952173,-0.12845427016101
1914,5.094738,-10.6831947026681,1.15151306258519
1915,4.0254717,-11.4935615538146,-1.567954930206
1916,6.9187803,-8.07651018231626,4.32223932628044
1917,9.812088,-6.13300627509582,1.80424013204617
1918,12.453804,-4.85218895072758,3.97826060167609
1919,12.642498,-6.1347037809163,0.404229115747012
1920,19.309685,-0.0615464002108055,7.84474222234681
1921,10.881354,-11.4603280134976,-8.7552844662346
1922,10.126578,-9.83003378865651,3.25528967399894
1923,8.428332,-10.7641989044515,-3.64576321382912
1924,8.994413,-9.24939426353843,2.07540502297638
1925,10.566864,-7.55730486879207,1.88847331684979
1926,11.824824,-6.79528570466698,-0.14274060234366
1927,8.17674,-11.0321071723693,-0.191525877040949
1928,7.3590655,-10.5584792873734,-3.37651565615548
1929,7.9880457,-9.23921761746733,4.71986970853828
1930,7.4848623,-9.69853038708399,-5.07521696380349
1931,4.08837,-12.7811717555542,2.29667043487134
1932,5.472126,-9.87940569612751,-3.11835943219369
1933,4.214166,-11.1651173833679,2.77643436877876
1934,6.2898,-8.43776055125621,-1.03030760863255
1935,6.101106,-9.16880801769174,2.3410604227459
1936,6.855882,-8.38765944318859,-0.609787788924973
1937,7.4219637,-8.07602706481105,1.94158298622617
1938,7.107474,-8.6496959274152,-0.58519151340683
1939,6.415596,-9.27153626069863,-0.0471018054051909
1940,6.415596,-8.96443699519598,0.689086836234788
1941,7.170372,-8.09375885081218,0.145700336975686
1942,7.4848623,-8.00091332369876,1.69740836389294
1943,7.5477605,-8.08766219835179,-0.990799436059419
1944,7.610658,-8.07624655475188,2.0602212223734
1945,6.6042895,-9.11149021382739,-2.43213430776159
1946,7.044576,-8.26364407125767,2.76387661548349
1947,11.95062,-3.39643878360763,3.08583013875029
1948,12.516702,-4.75881506774083,1.6912762180862
1949,11.195844,-6.85535450304773,-0.880875446133407
1950,10.755558,-7.10950964815299,0.612894375820463
1951,10.755558,-6.97610503291813,0.114823113910645
1952,10.755558,-6.97085203705175,0.441827594561048
1953,12.139314,-5.59593003033672,1.88207554844747
1954,12.139314,-6.15771961748766,-0.229796756761206
1955,12.139314,-6.32870496501286,1.29597457178858
1956,12.139314,-6.4185864817788,-0.439963033310589
1957,11.95062,-6.66291195671464,1.03579366657743
1958,13.082784,-5.49200553041376,0.792313522813002
1959,13.082784,-5.94696378007131,0.702849631507503
1960,11.95062,-7.21935241481163,-0.844611759813189
1961,11.32164,-7.470454857887,0.0660258280188035
1962,11.32164,-7.13022285875957,0.113409516501116
1963,11.32164,-7.01403827163138,0.223652177057145
1964,11.32164,-6.9485177833958,0.393893125295587
1965,11.32164,-6.90334921871275,0.0340332315409843
1966,11.32164,-6.86830797879247,0.580546592941843
1967,11.32164,-6.83893943932893,-0.106041316445926
1968,11.32164,-6.81300235664294,0.675292307151348
1969,11.32164,-6.78925872599304,-0.156919313221158
1970,11.32164,-6.76697848663581,0.668922423210808
1971,14.089152,-3.97819795314119,2.65195521299543
1972,15.598704,-3.55510415337287,1.51561044818703
1973,20.693441,0.623726421527236,5.76208518435907
1974,72.835884,50.3896214784691,51.5833124377459
1975,72.52139,28.4143422088352,-8.72566581574407
1976,80.50944,29.8183913785213,26.0704762197821
1977,87.554016,30.0665024498779,-1.04420003217752
1978,88.183,24.5506484527783,11.0816087568651
1979,198.82059,131.863207428713,112.000517203392
1980,231.65335,118.260827152963,11.1064659914224
1981,225.99252,84.5583818231715,35.0438573445842
1982,207.37471,55.8887907865883,-28.9324109770247
1983,185.86359,34.7342856600097,7.97522495137429
1984,181.02045,35.5127300491751,-12.5482198084118
1985,173.34688,29.4870631261265,2.53979820956624
1986,90.76182,-50.5883830158595,-79.5682202662782
1987,115.95271,7.5733188343609,38.8287600162564
1988,93.86798,-15.2549011217911,-43.5661146745922
1989,114.6386,15.8815591172867,34.7355853259925
1990,149.23067,45.8718813676914,24.2056207702562
1991,125.80175,8.19500732051244,-31.9179626437251
1992,121.5242,9.13965024096053,28.4114824255107
1993,106.748184,-3.28591874049494,-53.0465259021144
1994,99.48971,-4.04324165294769,40.2949588367969
1995,107.03151,8.37129383419742,-41.9371816744241
1996,130.00066,30.1806981226212,68.1180055592016
1997,120.08856,11.217965044994,-55.9852256521493
1998,79.978966,-27.5018090682714,6.76542413097249
1999,113.02819,21.4471964280765,5.71853024707704
2000,179.23068,79.0119275476425,71.4626397380562
2001,153.7472,25.4250547926768,-33.6098966076706
2002,157.39128,30.6640181070634,22.0089484314982
2003,181.33936,51.6083403184522,22.5634887535177
2004,240.6792,99.5573310177063,49.261965785919
2005,342.92673,173.843937973319,119.86072527953
2006,409.74313,190.03478403966,36.544083747308
2007,455.3128,190.927995035114,101.773697244531
2008,611.72064,310.607487817552,125.460706367211
2009,387.89993,7.24483644973507,-186.144402124848
2010,500.01102,178.977394841665,177.0372307644
2011,699.77545,342.531805916687,130.446638413935
2012,702.38007,253.145165205671,34.8508022974318
2013,683.4403,201.370383565209,32.1418338581788
2014,622.3506,128.774230661438,-75.0998594895857
2015,329.50226,-150.74095400182,-215.926388266256
2016,275.07916,-89.7297987959496,-59.4472454584885
2017,340.85962,29.3859502169897,61.3752669694152
2018,448.526,132.208633156264,51.0269235734169
2019,403.87164,48.6049575930212,-5.65131423168872
